Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
184,Cook Islands,,,,,32.56,,,,,,,,,,,,,,,,,,,,,,,,,1994,32.56,...,1.71,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188,Costa Rica,2749.3,,,,,,4554.7,,,,5104.67,,,,,5989.1,,,,,,,,,,,,,,2005,5989.1,117.84,1.4,1995,1975,1994,2007,2002,1991.0,2016,1992,2009,2007,1992,1998.0,1994.0,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384,Côte d’Ivoire,,,,,4345.77,,,,,,60372.31,,,,,,,,,,,,,,,,,,,2000,60372.31,...,3.67,1994,1994,1995,2003,2007,1993.0,2016,1996,2004,2004,1984,1997.0,1994.0,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191,Croatia,23329.25,17182.3,16506.08,16959.78,16214.22,16926.34,17515.27,18575.88,19278.9,20115.46,19694.45,20806.74,21912.74,23268.21,22916.83,23330.1,23529.45,24843.81,23628.58,21837.8,21050.86,20682.44,19114.78,18454.62,17704.99,17840.75,18105.04,18737.69,17718.65,2018,17718.65,-24.05,4.26,1994,2000,1997,2000,2007,1992.0,2017,1991,2007,2007,1995,2000.0,1996.0,1992,-26.34868244799983,-3.9355615953626555,2.748684121245002,-4.396047590239965,4.391947315381195,3.4793700232891474,6.055344850521862,3.7845851717388377,4.339251720793187,-2.0929672997783717,5.647733244645069,5.315585238244915,6.185762255199475,-1.5101290559093175,1.8033471470530467,0.8544755487546225,5.586020922716003,-4.891480010513683,-7.578872704157432,-3.6035681249942697,-1.750142274472406,-7.5796666157377945,-3.45366255850185,-4.062018074606779,0.7667894757353627,1.4813839104297795,3.494330860357104,-5.438450524050709
192,Cuba,33899.58,,21598.81,,22193.47,,26382.13,,27973.77,,26586.22,,24892.95,,,,,,,,,,,,,,,,,2002,24892.95,-26.57,2.22,1994,1990,1994,2008,2002,1992.0,2016,2001,2008,2007,1984,1997.0,1994.0,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196,Cyprus,4656.89,5146.61,5522.91,5766.97,6011.11,5882.27,6233.23,6321.03,6614.65,6882.47,7145.88,7021.41,7210.78,7605.55,7840.94,8031.3,8223.17,8538.92,8707.25,8453.8,8089.01,7759.47,7234.89,6554.36,6934.59,6960.13,7368.23,7515.69,7332.76,2018,7332.76,57.46,6.17,1992,1974,1996,2001,1999,1992.0,2017,2001,2004,2005,1988,2000.0,1997.0,1975,10.516031085123318,7.3116090008763095,4.419047205187128,4.233418935766952,-2.1433645366662604,5.9664041262981655,1.4085795005157868,4.645129037514454,4.048891475739467,3.8272596901984293,-1.741842852104993,2.6970366350918105,5.474719794529863,3.0949766946506094,2.427770139804674,2.3890279282307954,3.839760092519065,1.9713265846266264,-2.910792730196109,-4.315100901369787,-4.073922519566671,-6.760513282479344,-9.406224559046517,5.801176621363497,0.36829863048860806,5.863396229668116,2.001294747856677,-2.433974791403043
203,Czechia,164204.21,148894.13,144619.02,138637.29,132376.14,131608.26,134962.55,130733.07,125317.67,116623.43,127066.45,126957.56,123895.62,127382.8,128113.81,125671.94,126449.45,128264.33,122941.37,115193.74,117500.71,115060.26,110955.16,106427.46,104049.88,104815.38,106629.02,105641.73,104411.21,2018,104411.21,-36.41,9.79,1993,1993,1994,1994,2001,1993.0,2017,1993,2000,2002,1996,2000.0,1993.0,1993,-9.323804791606737,-2.871241465328428,-4.136198682579914,-4.516209167100708,-0.5800743245723925,2.5486926124545515,-3.1338174923339706,-4.142333688025538,-6.937760652587944,8.954478529743126,-0.08569531926011896,-2.4117823310403903,2.8146112025590635,0.5738686855682202,-1.9060162210459555,0.6186822611316375,1.4352612842523274,-4.149992441390374,-6.3018900797998185,2.002686951565251,-2.0769661732256863,-3.5677826558013965,-4.080657447567104,-2.233991114699159,0.7357048369493554,1.7303185849252267,-0.9259111637713712,-1.1648048550511143
408,Democratic People's Republic of Korea,178713.0,,,,133349.0,,,,,,68740.0,,73779.0,,,,,,,,,,,,,,,,,2002,73779.0,-58.72,3.16,2008,...,1995,...,2005,1995.0,2016,1998,2004,2002,...,2003.0,1994.0,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180,Democratic Republic of the Congo,,,,,1447.71,,,,,2488.0,2644.2,2793.0,2651.0,2645.0,,,,,,,,,,,,,,,,2003,2645.0,...,0.05,1994,1976,1995,1990,2005,1994.0,2017,1996,2005,2005,1989,1997.0,1995.0,1974,,,,,,,,,,6.278135048231503,5.6274109371454575,-5.084138918725385,-0.2263296869105998,,,,,,,,,,,,,,,
208,Denmark,54845.67,65428.35,59595.59,61682.6,65699.57,62655.77,75987.01,66603.08,62395.89,59842.62,55609.69,57322.68,56895.54,62055.93,56499.81,52932.0,60858.69,56102.04,52640.37,50184.69,50678.31,45652.28,41218.24,43079.33,38866.73,36493.99,38301.02,36213.25,36246.2,2018,36246.2,-33.91,6.3,1994,1977,1994,1983,2002,1988.0,2016,1978,2004,2003,2004,1995.0,1993.0,1979,19.295379197665014,-8.91472885989025,3.501953751947086,6.512322762010695,-4.6329070342469665,21.27695501946588,-12.349387086029564,-6.316809973352587,-4.092048370493629,-7.073436958475414,3.080380415715315,-0.7451500871906188,9.069937643618461,-8.953407031366709,-6.3147291999742965,14.97523237361143,-7.8158928494846025,-6.170310384435215,-4.66501280291153,0.9836067533743763,-9.917516981130586,-9.712636477301903,4.515209771208096,-9.778703614935512,-6.104809949280542,4.9515824386426335,-5.450951436802458,0.09098879553753693
