Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,"1000 t of
 CO₂ equivalent",%,kg of CO₂ equivalent,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
70,Bosnia and Herzegovina,34043.49,30796.73,10566.84,4009.57,4473.75,4457.51,7389.56,10243.55,14224.54,14598.5,15249.48,16118.46,16080.08,16436.75,17451.84,16461.55,18721.69,18788.5,20379.4,23782.87,25740.2,28107.84,21816.44,24029.0,25740.0,,,,,2014,25740.0,-24.39,7.39,2001,2009,2002,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,-0.0953709505106556,-0.6568843510333727,-0.6205516502568412,0.11576802500018701,-0.003630064263760778,0.6577775484519385,0.3862192065562765,0.3886338232351091,0.026289778087727204,0.0445922526286947,0.056984238151071356,-0.002381120777046889,0.022180859796717432,0.061757342540344054,-0.05674415992812224,0.13729812806205974,0.0035685880922075577,0.08467413577454301,0.16700540742121933,0.08229999154853901,0.091982191280565,-0.22383078884752444,0.10141709646486785,0.07120562653460402,,,,
72,Botswana,,,,,9291.74,,,,,,6139.54,,,,,,,,,,,,,,,23977.58,,,,2015,23977.58,,11.31,1998,1977,1996,,2003,1991.0,2016,1997,2008,2002,1990,1996.0,1994.0,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
76,Brazil,549508.95,571124.5,579937.39,592150.01,610399.21,636112.07,642566.41,667841.99,686733.41,702806.13,726356.22,745108.42,761523.8,779225.0,814206.76,829852.13,835405.2,840726.07,868919.21,855372.9,917073.32,953766.85,983403.27,1023745.34,1051252.38,1026660.5,,,,2015,1026660.5,86.83,5.02,1992,1975,1994,2015,2002,1990.0,2016,1993,2004,2004,1988,1997.0,1994.0,1977,0.03933612000314107,0.015430768597740096,0.021058514609654664,0.03081854207855194,0.04212466133434214,0.010146545403548285,0.039335358348407845,0.028287259984955487,0.023404598882119296,0.033508657643609295,0.025816809278510853,0.022030860958462937,0.023244447514312688,0.044893015496166075,0.019215475440169515,0.006691637942774152,0.0063692086187636795,0.033534275914627,-0.015589838323404014,0.07213277390480798,0.040011555455566006,0.03107302376885928,0.04102291626506382,0.026869025845822087,-0.023392936337513826,,,
96,Brunei Darussalam,,,,,,,,,,,,,,,,,,,,,9488.83,,,,,,,,,2010,9488.83,,24.42,2002,1990,2008,,2009,1993.0,2016,,,,1996,2002.0,2007.0,2011,,,,,,,,,,,,,,,,,,,,,,,,,,,,
100,Bulgaria,101794.34,83349.88,77727.07,76742.25,73107.41,74614.54,74782.9,71967.78,67955.96,60709.3,59580.03,62640.66,59963.84,64510.04,63592.41,64117.73,64678.35,68555.8,67142.57,58154.08,60726.73,65995.81,60940.95,55666.99,58679.25,61920.68,59345.03,61682.76,57815.59,2018,57815.59,-43.20,8.2,1996,1991,1996,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,-0.18119337479863803,-0.0674603250778525,-0.012670231876745217,-0.04736426153780996,0.020615283731156526,0.0022563966755005205,-0.03764389987550624,-0.055744667961134725,-0.10663759293518925,-0.01860126866888605,0.051370064768346116,-0.042732946938937214,0.07581569159013173,-0.014224607518457551,0.008260734260582351,0.008743603368366212,0.05994973588534656,-0.020614302509780295,-0.13387170017471783,0.04423851258587534,0.08676706287330133,-0.07659365041507939,-0.0865421362811049,0.054112140785769126,0.05523979941802256,-0.04159595792552668,0.03939217824980463,-0.06269450329395126
854,Burkina Faso,,,,,5968.24,,,,,,,,,,,,,20413.01,,,,,,,,,,,,2007,20413.01,,1.43,1999,1989,1993,1990,2005,1989.0,2016,1990,2002,2004,2005,1996.0,1993.0,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108,Burundi,,,,,,,,,1995.44,,,,,,,1480.91,,,,,1939.17,,,,,1707.29,,,,2015,1707.29,,0.17,1997,1988,1997,2011,2001,1997.0,,2002,2004,2005,,1997.0,1997.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132,Cabo Verde,,,,,,292.92,,,,,447.66,,,,,,,,,,,,,,,,,,,2000,447.66,,1.05,1999,2005,1995,2006,2006,2001.0,2017,2005,2006,2006,1987,1995.0,1995.0,1988,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,Cambodia,,,,,12762.59,,,,,,24109.09,,,,,,,,,,,,,,,,,,,2000,24109.09,,1.98,2001,1997,1995,,2002,2001.0,2017,1999,2013,2006,,1997.0,1995.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
120,Cameroon,,,,,165725.02,,,,,,28939.0,,,,,,,,,,,,,,,,,,,2000,28939.0,,1.87,2001,1981,1995,1983,2002,1989.0,2016,2006,2002,2009,1985,1997.0,1994.0,1982,,,,,,,,,,,,,,,,,,,,,,,,,,,,
