Country ID,Country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,Latest Year,1000 t,%,kg,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,1990 Percent Change,1991 Percent Change,1992 Percent Change,1993 Percent Change,1994 Percent Change,1995 Percent Change,1996 Percent Change,1997 Percent Change,1998 Percent Change,1999 Percent Change,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change,2017 Percent Change
152.0,Chile,130.1,,,162.33,104.3,,,,,,162.9,,,,,,301.75,,,,205.4,,,263.7,,,297.5,,,2016.0,297.5,128.67,16.34,1992,1975,1994,1983,2002,1990.0,2017,1981,2005,2005,1997,1997.0,1994.0,1980,,,,-35.748167313497206,,,,,,,,,,,,,,,,,,,,,,,,
170.0,Colombia,232.13,,,,275.0,,,,,,316.13,,,,332.01,,,,,,,,,,,,,,,2004.0,332.01,43.03,7.89,1996,1981,1995,,2001,1993.0,2018,1998,2008,2008,,1999.0,1995.0,1983,,,,,,,,,,,,,,,,,,,,,,,,,,,,
174.0,Comoros,,,,,0.05,,,,,,0.62,,,,,,,,,,,,,,,,,,,2000.0,0.62,,1.15,1994,1994,1994,,2008,1994.0,2016,1995,,2007,1994,1998.0,1994.0,2000,,,,,,,,,,,,,,,,,,,,,,,,,,,,
178.0,Congo,,,,,14.44,,,,,,11.62,,,,,,,,,,,,,,,,,,,2000.0,11.62,,3.72,2007,1983,1996,2000,2007,1994.0,2017,1998,2006,2007,2008,1999.0,1996.0,1987,,,,,,,,,,,,,,,,,,,,,,,,,,,,
188.0,Costa Rica,30.59,,,,,,25.22,,,,21.52,,,,,25.18,,,,,,,,,,,,,,2005.0,25.18,-17.70,5.87,1995,1975,1994,2007,2002,1991.0,2016,1992,2009,2007,1992,1998.0,1994.0,1977,,,,,,,,,,,,,,,,,,,,,,,,,,,,
384.0,Côte d’Ivoire,,,,,132.02,,,,,,276.22,,,,,,,,,,,,,,,,,,,2000.0,276.22,,16.79,1994,1994,1995,2003,2007,1993.0,2016,1996,2004,2004,1984,1997.0,1994.0,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
191.0,Croatia,100.79,75.44,71.2,71.48,73.93,75.32,80.7,82.85,85.35,88.36,82.32,83.04,85.4,84.69,82.25,80.62,80.04,82.83,78.24,72.46,64.36,60.93,55.25,54.44,51.04,51.06,50.69,49.99,45.92,2018.0,45.92,-54.44,11.05,1994,2000,1997,2000,2007,1992.0,2017,1991,2007,2007,1995,2000.0,1996.0,1992,-25.15130469292589,-5.620360551431594,0.3932584269662937,3.4275321768326843,1.8801569051805573,7.142857142857157,2.664188351920683,3.0175015087507546,3.5266549502050446,-6.8356722498868345,0.8746355685131355,2.842003853564546,-0.8313817330210865,-2.8810957610107426,-1.981762917933125,-0.7194244604316525,3.48575712143927,-5.5414704817095295,-7.38752556237219,-11.178581286226876,-5.329397141081416,-9.322172985393074,-1.4660633484162937,-6.245407788390887,0.03918495297806255,-0.7246376811594292,-1.3809429867823944,-8.141628325665133
192.0,Cuba,139.69,,,,,,,,,,96.8,,83.82,,,,,,,,,,,,,,,,,2002.0,83.82,-40.00,7.48,1994,1990,1994,2008,2002,1992.0,2016,2001,2008,2007,1984,1997.0,1994.0,1981,,,,,,,,,,,,,,,,,,,,,,,,,,,,
196.0,Cyprus,16.99,17.22,19.32,19.66,20.82,19.71,20.31,20.58,20.94,21.39,22.7,22.06,22.11,22.4,21.94,22.03,21.86,22.08,20.66,20.49,19.09,21.88,22.0,16.81,17.88,15.55,15.22,15.22,14.8,2018.0,14.8,-12.89,12.45,1992,1974,1996,2001,1999,1992.0,2017,2001,2004,2005,1988,2000.0,1997.0,1975,1.3537374926427337,12.195121951219521,1.7598343685300202,5.900305188199391,-5.331412103746395,3.0441400304413895,1.329394387001475,1.7492711370262537,2.1489971346704837,6.124357176250578,-2.8193832599118966,0.22665457842248737,1.3116236996833972,-2.053571428571417,0.4102096627164989,-0.7716749886518461,1.0064043915827945,-6.431159420289847,-0.8228460793804536,-6.832601268911658,14.614981665793605,0.5484460694698401,-23.590909090909097,6.365258774538968,-13.031319910514533,-2.1221864951768494,0.0,-2.7595269382391585
203.0,Czechia,727.61,692.48,651.43,529.85,436.99,369.66,350.73,322.06,304.0,279.46,279.69,283.07,275.33,276.27,276.65,271.42,266.5,264.39,248.58,234.81,229.06,216.63,204.54,189.61,185.13,178.8,170.6,167.31,160.87,2018.0,160.87,-77.89,15.08,1993,1993,1994,1994,2001,1993.0,2017,1993,2000,2002,1996,2000.0,1993.0,1993,-4.828135951952282,-5.927969038817015,-18.663555562378143,-17.52571482495046,-15.407675232842852,-5.120921928258401,-8.174379152054291,-5.607650748307769,-8.072368421052637,0.0823015816217055,1.2084808180485522,-2.7343060020489665,0.3414084916282271,0.13754660296086996,-1.8904753298391332,-1.8126888217522716,-0.7917448405253334,-5.9798025643935,-5.539464156408404,-2.4487883820961627,-5.426525801100151,-5.580944467525275,-7.299305759264681,-2.3627445809820253,-3.4192189272403093,-4.5861297539149986,-1.9284876905040986,-3.8491423106807705
408.0,Democratic People's Republic of Korea,459.0,,,,318.0,,,,,,169.0,,159.0,,,,,,,,,,,,,,,,,2002.0,159.0,-65.36,6.81,2008,,1995,,2005,1995.0,2016,1998,2004,2002,,2003.0,1994.0,1998,,,,,,,,,,,,,,,,,,,,,,,,,,,,
180.0,Democratic Republic of the Congo,,,,,232.23,,,,,746.0,761.38,746.62,746.01,749.82,,,,,,,,,,,,,,,,2003.0,749.82,,14.58,1994,1976,1995,1990,2005,1994.0,2017,1996,2005,2005,1989,1997.0,1995.0,1974,,,,,,,,,,2.0616621983914203,-1.9385852005568824,-0.08170153491736273,0.5107170145172396,,,,,,,,,,,,,,,
208.0,Denmark,305.42,355.34,310.93,309.47,311.01,292.8,327.49,280.33,259.99,241.19,229.98,226.77,223.57,233.12,216.37,208.16,207.32,193.44,177.31,157.88,153.18,143.93,132.78,127.87,118.28,116.75,116.96,114.21,108.86,2018.0,108.86,-64.36,18.93,1994,1977,1994,1983,2002,1988.0,2016,1978,2004,2003,2004,1995.0,1993.0,1979,16.34470565123435,-12.49788934541565,-0.46955906474125353,0.497624971725842,-5.855117198803891,11.847677595628415,-14.400439708082697,-7.255734313130945,-7.231047347974926,-4.647788050914221,-1.395773545525689,-1.4111214005379975,4.271592789730291,-7.185140700068635,-3.7944262143550436,-0.4035357417371269,-6.694964306386261,-8.338502894954505,-10.958208786870456,-2.9769445148213762,-6.038647342995169,-7.7468213715000385,-3.6978460611537853,-7.4998044889340765,-1.2935407507609071,0.17987152034260706,-2.3512311901504788,-4.684353384116973
262.0,Djibouti,,,,,1.42,,,,,,1.89,,,,,,,,,,,,,,,,,,,2000.0,1.89,,2.63,2002,1992,1994,2004,2002,1999.0,2016,2003,2004,2004,1991,1997.0,1995.0,2007,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212.0,Dominica,,,,,0.43,,,,,,0.58,0.68,0.67,0.61,0.58,0.63,,,,,,,,,,,,,,2005.0,0.63,,8.93,1998,1995,1994,,2005,1993.0,2016,,2005,2003,1991,1997.0,1993.0,1995,,,,,,,,,,,17.241379310344847,-1.4705882352941189,-8.955223880597023,-4.9180327868852505,8.620689655172423,,,,,,,,,,,,,
214.0,Dominican Republic,54.12,,,,77.9,,,,78.64,,92.96,,,,,,,,,,7.48,,,,,,,,,2010.0,7.48,-86.18,0.77,2000,1986,1997,2017,2002,1993.0,2017,2002,2006,2007,2009,1997.0,1998.0,1985,,,,,,,,,,,,,,,,,,,,,,,,,,,,
218.0,Ecuador,128.14,,,,,,,,,,,,,,,,,,,,212.02,,229.31,,,,,,,2012.0,229.31,78.96,14.82,1993,1975,1993,2004,2000,1990.0,2017,1991,2004,2004,2012,1995.0,1993.0,1975,,,,,,,,,,,,,,,,,,,,,,,,,,,,
818.0,Egypt,,,,,,,,,,,,,,,,399.42,,,,,,,,,,,,,,2005.0,399.42,,5.29,1993,1978,1994,1983,2005,1988.0,2017,1988,,2003,1983,1995.0,1994.0,1974,,,,,,,,,,,,,,,,,,,,,,,,,,,,
222.0,El Salvador,,,,,33.89,,,,,,,,,,,39.47,,,,,,,,,,,,,,2005.0,39.47,,6.52,1991,1987,1994,,1998,1992.0,2017,1999,1999,2008,,1997.0,1995.0,1991,,,,,,,,,,,,,,,,,,,,,,,,,,,,
232.0,Eritrea,,,,,0.3,,,,,,5.0,,,,,,,,,,,,,,,,,,,2000.0,5.0,,2.18,2005,1994,1996,2005,2005,2005.0,,,2005,2005,,1996.0,1995.0,2001,,,,,,,,,,,,,,,,,,,,,,,,,,,,
233.0,Estonia,95.56,87.9,58.38,49.72,52.98,50.06,53.61,53.56,50.64,45.6,43.89,45.36,45.08,46.08,44.61,41.29,40.24,45.37,41.46,38.25,45.02,44.01,41.35,37.67,39.76,39.36,39.67,41.28,42.15,2018.0,42.15,-55.89,31.86,1992,1992,1994,2008,2002,1996.0,2016,1994,2006,2008,2005,2012.0,1994.0,1995,-8.015906236919209,-33.58361774744027,-14.833847207947933,6.556717618664518,-5.511513778784437,7.091490211745899,-0.09326618168251662,-5.451829723674387,-9.952606635071088,-3.7500000000000018,3.349282296650715,-0.6172839506172865,2.218278615794144,-3.1901041666666643,-7.442277516251962,-2.542988617098564,12.748508946322056,-8.618029534934973,-7.742402315484806,17.699346405228766,-2.2434473567303534,-6.044080890706651,-8.899637243047158,5.548181576851596,-1.0060362173038195,0.787601626016266,4.058482480463825,2.1075581395348775
748.0,Eswatini,,,,,19.88,,,,,,,,,,,,,,,,,,,,,,,,,1994.0,19.88,,21.9,2005,1997,1995,2013,2006,1992.0,2016,2013,2012,2006,2012,1996.0,1996.0,2005,,,,,,,,,,,,,,,,,,,,,,,,,,,,
