Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Unnamed: 50,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
446.0,"China, Macao Special Administrative Region",...,...,...,4179,3854,3905,4188.0,4545.0,5249.0,5924.0,5870.0,5929.0,6499.0,6369.0,8826.0,11705.0,12419.0,17573.0,17683.0,17252.0,20157.0,23668.0,21129.0,19798.0,,,,13,13,13,13.0,13.0,13.0,13.0,13.0,13.0,13.0,13,13,13,13,13,13,13,13,13,13,13,,,,,,,,,,,,,,,,8.524355300859598,15.48954895489549,12.859592303295866,-0.9115462525320729,1.0051107325383306,9.613762860516108,-2.000307739652254,38.577484691474325,32.6195331973714,6.099957283212302,41.500926000483126,0.6259602799749616,-2.4373692246790704,16.8386274055182,17.418266607133997,-10.727564644245396,-6.299398930380046
191.0,Croatia,...,...,...,...,...,...,,,,,113298.0,,771116.0,,221145.0,,72553.0,,121419.0,,130239.0,,174325.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,2000,1997,2000,2007,1992.0,2017,1991,2007,2007,1995,2000.0,1996.0,1992,,,,,,,,,,,,,,,,,
192.0,Cuba,...,...,...,...,...,...,,,,,613836.0,941389.0,1253673.0,1417308.0,,,660756.0,500651.0,565216.0,496570.0,412100.0,302860.0,230897.0,235098.0,,,,,,,,,,,,,,,,,,,,,,,,,,1994,1990,1994,2008,2002,1992.0,2016,2001,2008,2007,1984,1997.0,1994.0,1981,,,,,53.36164708488912,33.17268419325061,13.052446690644212,,,,-24.23057830727228,12.89620913570531,-12.145091434071222,-17.010693356425076,-26.508129094879884,-23.76114376279469,1.8194259778169488
196.0,Cyprus,...,...,...,...,...,...,,,,,111117.0,,16961.0,,23786.0,,23770.0,,31069.0,,173050.0,,159080.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1974,1996,2001,1999,1992.0,2017,2001,2004,2005,1988,2000.0,1997.0,1975,,,,,,,,,,,,,,,,,
203.0,Czechia,...,...,...,...,...,...,,,,,1446021.0,,1307080.0,,1510496.0,,1362864.0,,1481281.0,,1162342.0,,1088714.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1993,1993,1994,1994,2001,1993.0,2017,1993,2000,2002,1996,2000.0,1993.0,1993,,,,,,,,,,,,,,,,,
208.0,Denmark,...,...,...,...,...,...,,,,,319672.0,,372892.0,,419646.0,,1224795.0,,1216905.0,,1715907.0,,2010740.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1994,1977,1994,1983,2002,1988.0,2016,1978,2004,2003,2004,1995.0,1993.0,1979,,,,,,,,,,,,,,,,,
212.0,Dominica,...,...,...,...,...,...,,,627.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1998,1995,1994,...,2005,1993.0,2016,...,2005,2003,1991,1997.0,1993.0,1995,,,,,,,,,,,,,,,,,
233.0,Estonia,...,...,...,...,...,...,,,,,7333269.0,,6618811.0,,7538297.0,,8961708.0,,9159139.0,,10410321.0,,9682164.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1992,1992,1994,2008,2002,1996.0,2016,1994,2006,2008,2005,2012.0,1994.0,1995,,,,,,,,,,,,,,,,,
242.0,Fiji,...,...,...,...,...,...,,,,,,,3928.290039,2957.429932,3276.389893,3682.02002,3510.189941,3946.790039,2883.409912,6678.572754,10765.0166,11920.83594,12956.52051,14332.50684,,,,,,,,,,,,,,,,,,,,,,,,,,...,1997,1993,2013,1998,1989.0,2016,2006,...,2001,1982,1998.0,1993.0,1990,,,,,,,-24.714572940422336,10.78503864280224,12.380398555941948,-4.666733968491563,12.438076153668742,-26.942910985693807,131.6206490865389,61.18738234232016,10.736809639476078,8.688019659131383,10.620029728953824
246.0,Finland,...,...,...,...,...,...,,,,,2153103.0,,2710948.0,,2163268.0,,2559417.0,,1653942.0,,1998693.0,,2388490.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1991,1976,1994,1989,2002,1988.0,2016,1975,2004,2002,1996,1995.0,1994.0,1987,,,,,,,,,,,,,,,,,
