Country ID,Country,1990,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,Footnotes 1990,Footnotes 1995,Footnotes 1996,Footnotes 1997,Footnotes 1998,Footnotes 1999,Footnotes 2000,Footnotes 2001,Footnotes 2002,Footnotes 2003,Footnotes 2004,Footnotes 2005,Footnotes 2006,Footnotes 2007,Footnotes 2008,Footnotes 2009,Footnotes 2010,Footnotes 2011,Footnotes 2012,Footnotes 2013,Footnotes 2014,Footnotes 2015,Footnotes 2016,Footnotes 2017,Basel Convention,CITES,Convention on Biological Diversity,Convention on Migratory Species,Kyoto Protocol,Montreal Protocol,Paris Agreement,Ramsar Convention,Rotterdam Convention,Stockholm Convention,UN Convention on the Law of the Sea,UN Convention to Combat Desertification,UN Framework Convention on Climate Change,World Heritage Convention,2000 Percent Change,2001 Percent Change,2002 Percent Change,2003 Percent Change,2004 Percent Change,2005 Percent Change,2006 Percent Change,2007 Percent Change,2008 Percent Change,2009 Percent Change,2010 Percent Change,2011 Percent Change,2012 Percent Change,2013 Percent Change,2014 Percent Change,2015 Percent Change,2016 Percent Change
70.0,Bosnia and Herzegovina,2462.763287045993,3988.43924157694,4286.087977374904,4581.241228139028,4873.8989938674495,5164.061274560168,5205.0,7122.0,6515.0,5142.0,6995.0,7220.0,5811.0,6260.0,5812.0,6987.0,14483.0,3962.0,8057.0,10267.0,14568.0,7584.0,9350.0,8386.0,,,,,,,,,,,,,,,,,,,,,,,,,2001.0,2009,2002.0,2017,2007,1993.0,2017,1992,2007,2010,1994,2002.0,2000.0,1993,0.368299711815562,-0.08522886829542263,-0.21074443591711436,0.3603656164916375,0.032165832737669764,-0.19515235457063712,0.07726725176389605,-0.07156549520766774,0.20216792842395045,1.0728495777873193,-0.7264378927017883,1.0335689045936396,0.2742956435397791,0.4189149702931723,-0.4794069192751236,0.23285864978902954,-0.10310160427807487
76.0,Brazil,36168.20167815685,48811.69607758522,50399.53781437874,51673.76050376892,52634.36414527893,53281.348739385605,53614.714285612106,53779.0,54280.0,50812.0,50202.0,48457.0,49685.0,49834.0,47409.0,47754.0,46374.0,30432.0,20760.0,29891.0,28186.0,19773.0,19632.0,11298.214284539223,,,,,,,,,,,,,,,,,,,,,,,,,1992.0,1975,1994.0,2015,2002,1990.0,2016,1993,2004,2004,1988,1997.0,1994.0,1977,0.0030641908024115114,0.009315903977388944,-0.0638909358879882,-0.01200503817995749,-0.03475957133181945,0.02534205584332501,0.0029988930260642045,-0.048661556367138904,0.007277099284945896,-0.028898102776730744,-0.3437702160693492,-0.31782334384858046,0.43983622350674373,-0.057040580776822454,-0.2984815156460654,-0.007130936125018965,-0.42450008738084644
100.0,Bulgaria,-396457.9997596741,-244924.78555965424,-218764.2498602867,-193985.74987459183,-170589.28560209274,-148574.85704374313,-127942.46419811249,-108692.10706710815,-90823.78564834595,-74337.49994373322,-59233.24995279312,-45511.03567504883,-33170.85711145401,-22212.714260578156,-12636.607124328613,-4442.5357003211975,2369.500009536743,7799.500005245209,11451.0,15042.0,16388.0,14720.0,14273.0,11559.0,,,,,,,,,,,,,,,,,,,,,,,,,1996.0,1991,1996.0,1999,2002,1990.0,2016,1976,2000,2004,1996,2001.0,1995.0,1974,-0.15046104709376334,-0.16439391875741294,-0.18151947297643803,-0.20318479909026602,-0.23166404491869735,-0.27114695107587394,-0.3303545281949308,-0.431109274801444,-0.6484392007591808,-1.5333665657127813,2.2916226941776108,0.4681710356175571,0.31359706575844903,0.08948278154500731,-0.10178179155479619,-0.030366847826086958,-0.1901492328172073
108.0,Burundi,,,,,,,,,,,,1355.0,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,1997.0,1988,1997.0,2011,2001,1997.0,,2002,2004,2005,,1997.0,1997.0,1982,,,,,,,,,,,,,,,,,
344.0,China Hong Kong Special Administrative Region,215,325,255.97668799743406,251.82755068916595,247.54613092797808,243.13242871395778,283.0,338.0,246.0,159.0,87.0,345.0,244.0,49.0,280.0,127.0,181.0,40.0,114.0,295.0,250.0,142.0,147.86027579265647,141.0654894276522,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.19434628975265017,-0.27218934911242604,-0.35365853658536583,-0.4528301886792453,2.9655172413793105,-0.2927536231884058,-0.7991803278688525,4.714285714285714,-0.5464285714285714,0.4251968503937008,-0.7790055248618785,1.85,1.587719298245614,-0.15254237288135594,-0.432,0.04126954783560892,-0.0459541031462199
188.0,Costa Rica,28085.682147055864,28369.036120027304,28336.923632889986,28275.216718502343,28183.915376894176,28063.019608020782,27912.529411911964,27517.0,26862.0,27645.0,27981.0,26352.0,24154.0,27254.0,27461.0,23737.0,29926.0,23966.0,20597.0,20256.0,23421.0,22064.0,21430.0,22188.0,,,,,,,,6.0,6.0,6.0,6.0,6.0,6,6,6,6,6,6,6,6,6,6,6,,1995.0,1975,1994.0,2007,2002,1991.0,2016,1992,2009,2007,1992,1998.0,1994.0,1977,-0.01417031778363906,-0.023803466947705056,0.02914898369443824,0.012154096581660336,-0.05821807655194596,-0.08340922890103218,0.12834313157241037,0.0075952153812284436,-0.13561050216670914,0.26073219025150607,-0.19915792287642853,-0.1405741467078361,-0.01655580909841239,0.15625,-0.05793945604372144,-0.028734590282813634,0.035370975268315445
191.0,Croatia,-49752.82452170551,-33106.07049829513,-29721.728539358824,-26319.056195683777,-22898.053467247635,-19458.72035407275,-16001.056856140494,-12525.06297346577,-9030.738706029952,-5518.084053855389,-1987.0990169234574,5693.0,2993.0,3716.0,12320.144978288561,15942.781938962638,19583.74928439036,26119.0,28747.0,34027.0,34006.0,27062.0,48698.0,44920.0,,,,,,,,,,,,,,,,,,,,,,,7,7,1994.0,2000,1997.0,2000,2007,1992.0,2017,1991,2007,2007,1995,2000.0,1996.0,1992,-0.21723526851545383,-0.2789865627692661,-0.3889664806522542,-0.6398933039928767,-3.8649805326833864,-0.4742666432460917,0.24156364851319745,2.3154319101960605,0.2940417476464885,0.22837716525053542,0.3337078421862099,0.10061640951031815,0.1836713396180471,-0.0006171569635877391,-0.2041992589543022,0.7994974502993127,-0.07758018809807385
192.0,Cuba,3219.884601053782,3690.1868052426726,3773.129114001058,3852.3653787309304,3927.895599433221,3999.719776108861,4067.8379087578505,4132.249997379258,4192.956041973084,4249.956042542122,2183.0,5739.0,4602.0,6598.0,5042.0,2908.0,4274.0,3997.0,5223.0,4585.0,4413.0,3909.0,4033.0,5903.0,,,,,,,,,,,,,,,,,,,,,,,,,1994.0,1990,1994.0,2008,2002,1992.0,2016,2001,2008,2007,1984,1997.0,1994.0,1981,0.015834477692125284,0.01469079669243795,0.013594228033503433,-0.48634762850529795,1.6289509848831882,-0.19811813904861475,0.4337244676227727,-0.2358290391027584,-0.42324474414914715,0.46973865199449794,-0.06481048198408984,0.30673004753565175,-0.122152019911928,-0.03751363140676118,-0.1142080217539089,0.03172166794576618,0.4636746838581701
531.0,Curaçao,-112089.43449521065,-60498.244032621384,-51860.541653871536,-43783.01784658432,-36265.672610759735,-29308.505945444107,-22911.51785182953,-17074.70832967758,-11798.07737827301,-7081.6249985694885,-2925.3511900901794,670.7440476417542,3706.6607134342194,6182.3988082408905,8097.958332061768,9453.339284181595,7398.0,4177.0,31133.0,3375.0,2426.0,2129.0,3359.0,3202.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-0.2547543798668872,-0.30903198166104245,-0.39976448945734167,-0.5869096159876992,-1.2292866750200604,4.52619248201507,0.6679160263667351,0.3098408212144957,0.16737316945106367,-0.21741939249137318,-0.43538794268721276,6.453435480009576,-0.8915941284167924,-0.2811851851851852,-0.1224237427864798,0.5777360263034288,-0.04674010122060137
196.0,Cyprus,440.57752836472355,381.2431630467763,370.3356553078629,359.74793601070996,349.48000515520107,339.5318627412198,363.0,334.0,291.0,323.0,320.0,224.0,223.0,260.0,153.0,341.0,231.0,298.0,418.0,155.0,205.0,250.0,220.0,166.0,,,,,,,,,,,,,,,,,1,1,1,1,1,1,1,1,1992.0,1974,1996.0,2001,1999,1992.0,2017,2001,2004,2005,1988,2000.0,1997.0,1975,-0.07988980716253444,-0.12874251497005987,0.10996563573883161,-0.009287925696594427,-0.3,-0.004464285714285714,0.16591928251121077,-0.4115384615384615,1.2287581699346406,-0.3225806451612903,0.29004329004329005,0.40268456375838924,-0.6291866028708134,0.3225806451612903,0.21951219512195122,-0.12,-0.24545454545454545
203.0,Czechia,966,1758,1469.220917943865,1501.812352154404,1529.2668473348022,1551.5844034776092,1453.0,1576.0,2351.0,1162.0,1250.0,1525.0,1873.0,1351.0,1046.0,1138.0,2383.0,1323.0,1234.0,1878.0,804.0,945.0,1107.0,1363.0,,,,,,,,,,,,,,,,,,1,1,1,,,,,1993.0,1993,1994.0,1994,2001,1993.0,2017,1993,2000,2002,1996,2000.0,1993.0,1993,0.08465244322092223,0.491751269035533,-0.5057422373458103,0.0757314974182444,0.22,0.22819672131147542,-0.27869727709556863,-0.22575869726128794,0.08795411089866156,1.09402460456942,-0.4448174569869912,-0.0672713529856387,0.5218800648298217,-0.5718849840255591,0.17537313432835822,0.17142857142857143,0.23125564588979222
